분류,일반/특별,제휴사,프로모션명,시작일,종료일,내용,혜택,카테고리,Thumbnail,Detail,URL
자체,특별,,🎉바로팜💐봄인해제,2026-04-13,2026-04-30,PC&앱 가입 및 이용 미션,- 포인트 증정 - 6/8개 완성 시 탁상선풍기/간식세트 증정,자사 서비스,,,
자체,일반,갈더마코리아,발모의 여왕👑 엘크라넬 바로라이브📺,2026-04-13,2026-04-22,1. 알림신청 2. 라이브 30분 시청(50명) 3. 라이브 퀴즈(10명) 4. SNS 공유 참여(30명) 5. 신청자에 한해 선착순 매대小 증정(100명),1. 100P 증정 2. 메가커피 아메리카노 기프티콘 3. 아웃백 기프트카드 1만원권 4. CGV 2D 관람권 5. POP겸 매대 증정,OTC,https://i.baropharm.com/event/f2ffbf4f-b839-463b-b9a5-729e6a658434.png?&w=752&q=95,,
자체,일반,,🎉바로팜🏥BPCS 4월 이벤트,2026-04-15,2026-04-30,1. 커넥트 가입 후 BPCS 신규가입(서비스 동의) 2. 가입후 공동인증서 연동 시 쿠폰+포인트 증정 3. BPCS로 실제 처방전 받고 실고객이 약 픽업 완료 시,"1. 바로팜 1,000P + 약사명찰 2. 고급형 전산봉투 1만장 구매시 사용가능한 50% 할인 쿠폰 + 5,000P 증정 3. 10,000P 증정",자사 서비스,https://i.baropharm.com/uploads/event/202604/1776172106609.png?&w=752&q=95,,
자체,특별,,🎉 무엇이든 물어보살!,2026-03-30,2026-04-17,"약국 세무, 법률, 금융, 경영 관련 전문가 상담문의글 작성 1. 첫 상담글 작성 시 2. 2개 이상 카테고리에 작성 시 3. 도움되는 상담글 작성 시(조회수/좋아요 수/내용 등 내부 기준 5명 선정) 4. 1분 이상 무료전화 상담 시(100명)",1. 500P 2. 500P 3. 도미노피자 기프티콘 4. 스타벅스 아메리카노 기프티콘,자체 서비스,https://i.baropharm.com/event/59219b0f-5e5d-4d78-8c99-7ae34d588fac.png?&w=752&q=95,,
자체,일반,,📝 전문가상담 리포트,2026-03-30,2026-12-31,무엇이든 물어보살의 결과 데이터 공유,-,-,https://i.baropharm.com/event/d006e9b3-fc2b-4acc-bef1-cbd8831cb0fa.png?&w=752&q=95,,
자체,일반,,♥️365일 상시 진행⭐셀링리뷰 혜택,2025-12-19,2027-02-28,주문 리뷰 등록,"■ 키워드(x2배 적립 조건: 제품 첫 리뷰, 나의 첫 리뷰) 바로팜몰: 의약품/외품 20P, 브랜드관/스토어 30P 연동몰: 10P 외부몰: 10P  ■ 키워드+텍스트(x2배 적립 조건: 제품 첫 리뷰, 나의 첫 리뷰) 바로팜몰: 의약품/외품 30P, 브랜드관/스토어 100P 연동몰: 20P 외부몰: 20P  ■ 키워드+포토(x2배 적립 조건: 제품 첫 리뷰, 나의 첫 리뷰, 텍스트 100자 이상) 바로팜몰: 의약품/외품 100P, 브랜드관/스토어 150P 연동몰: 50P 외부몰: 50P",,https://i.baropharm.com/event/66c31941-6010-47c6-83ac-83db6bd666e0.png?&w=752&q=95,,
자체,일반,,🎉 근무약사 모여라!,2024-07-08,2026-06-30,바로팜 커뮤니티 친구 추천 이벤트,"초대한 약사 2,000P 가입한 약사 2,000P",,https://i.baropharm.com/event/69561195-3ddd-493c-a55e-f2db631376a4.png?&w=752&q=95,,
자체,일반,,🎉 바로팜 계좌결제 프로모션,2024-07-18,2026-12-31,예치금 계좌결제시,1.0% 포인트 적립,,https://i.baropharm.com/event/0fe7aa96-813e-411f-8bca-e9c9333f0564.png?&w=752&q=95,,
자체,일반,,댓글만 달아도 포인트가 와르르~!🎊,2024-04-01,2026-12-31,커뮤니티 댓글 작성 시(일 최대 4회),50P,,https://i.baropharm.com/event/d91e78e7-9e35-4f02-93c2-c66e8f1120d6.png?&w=752&q=95,,
자체,일반,,🎉 바로Q에 물어봐! Baro 지식왕👑,2024-04-10,2029-12-31,커뮤니티 지식인 참여 후 지식왕 선정시,"선정자 3,000P 해당 글 작성자 1,000P",,https://i.baropharm.com/event/143eef24-6a5f-4ae2-9d8b-b9e77307872d.png?&w=752&q=95,,
자체,일반,팜올플러스,🎉팜올플러스🍎에플단 4기 모집,2026-04-03,2026-04-08,팜올플러스 이벤트,,자사 서비스,https://i.baropharm.com/event/f08c7101-856f-4c0d-a239-f2287aa857a6.png?&w=752&q=95,,
자체,일반,팜올플러스,"🎉팜올플러스📚열심히 공부한 당신, 먹어라!",2026-04-14,2026-04-30,팜올플러스 이벤트,,자사 서비스,https://i.baropharm.com/event/602fb6e4-bfea-43ca-bdbf-130ecd9d52d8.png?&w=752&q=95,,
자체,일반,팜올플러스,🎉팜올플러스📚의약품의 모든 것💊,2026-04-01,2026-04-19,팜올플러스 이벤트,,자사 서비스,https://i.baropharm.com/event/88d82015-09f2-457a-804c-7453f8e1fa84.png?&w=752&q=95,,
자체,일반,필렌즈,🎉바로팜📸4월도 찰칵! 필렌즈 챌린지,2026-04-01,2026-04-30,바로팜 이벤트,,자사 서비스,https://i.baropharm.com/event/38024628-8f21-4239-9c0d-a526f317a6b6.png?&w=752&q=95,,
자체,일반,필렌즈,🎉바로팜💊필렌즈 2만한 선택💟,2026-03-30,2026-04-30,바로팜 이벤트,,자사 서비스,https://i.baropharm.com/event/e535d3d8-7337-4d9d-ac59-896ca8d758ca.png?&w=752&q=95,,
자체,일반,팜올플러스,"🎉 약국 개국을 위한 모든 것, 오픈플러스",2025-12-24,2026-12-31,팜올플러스 이벤트,,자사 서비스,https://i.baropharm.com/event/a2f242e3-80fe-4289-9247-a152e9998d8e.png?&w=752&q=95,,
자체,특별,,계약서 검토받고 신세계 상품권 받아가세요,2026-04-06,2026-04-30,약국 임대계약서 검토 상담,신세계상품권 1만원권 증정,,https://i.baropharm.com/event/3adaf23c-c141-49f1-94f7-cdc223d9dab2.png?&w=752&q=95,,
제휴,일반,노스크,[드림에어] 4월 봄맞이 월간이벤트💐,2026-04-01,2026-04-30,3/5/10만원 이상 사은품 증정,패션마스크5개입1set 압박스타킹 1개 허리보호대 1개,,https://i.baropharm.com/event/1ac4f2c5-f2cc-4bb2-a7dd-eeb610145b79.jpg?&w=752&q=95,,
제휴,일반,,"셀트리온 더마 솔루션 ""지피덤"" 입점 이벤트",2026-02-11,2026-05-01,1. 첫 구매고객 2. 첫 리뷰 작성 3. 상시 포인트백 4. 페이셜 필름마스크 샘플팩 증정,"1. 바로팜 쿠폰 5,000원권 증정 2. 1,000P 증정 3. 5% 페이백 4. 1박스 주문 시, 샘플 2ea 증정",화장품,https://i.baropharm.com/event/ab46a1a4-b6e5-4963-8961-e6455986fa59.png?&w=752&q=95,,
제휴,일반,헤이오드리,🍱헤이오드리 x 바로팜 점심 지원 이벤트,2026-02-09,2026-05-01,도시락업체 제휴 1. 첫 주문 시 2. 가입 시,1. 3끼중 1끼는 100원 주문 쿠폰(2+1 쿠폰) 2. 헤이오드리 5천원권 증정(100명,외품(식사),https://i.baropharm.com/event/f5bf28cf-ecbe-4ee0-ae5f-6f9e2b541872.png?&w=752&q=95,,
미분류,일반,,"🎉 최대 60만점 적립, KB 비즈프라임카드",2025-11-28,2026-04-30,카드 프로모션 전월 실적 300만원 이상,제약가맹 1% KB포인트 적립,카드,https://i.baropharm.com/event/5b608361-d841-4a8c-8f05-41f5416f04e8.png?&w=752&q=95,,
제휴,일반,현대약품,"🎖️현대약품 🥸루핑 점안액, 이건뭐약?",2024-05-08,2026-05-21,인공눈물 퀴즈/셀링가이드 작성 참여,"2,000P(30명)",OTC,https://i.baropharm.com/event/f3cec676-25be-4cb8-aafa-fb0154269338.png?&w=752&q=95,,
제휴,일반,우리카드,🎉바로팜x우리카드 프로모션,2024-04-01,2026-04-30,카드 프로모션,,카드,https://i.baropharm.com/event/08d0fd01-49c3-4b78-bb89-2e3cf0473aea.png?&w=752&q=95,,
제휴,일반,BC카드,🎉 바로팜XBC카드 프로모션,2024-04-01,2026-04-30,카드 프로모션,,카드,https://i.baropharm.com/event/8026ec35-eac2-44a5-b5ec-a3e03c81a11e.png?&w=752&q=95,,
제휴,일반,현대약품,"🎖️현대약품 🥸복합마이녹실액5%, 이건뭐약?",2024-06-14,2028-07-01,탈모치료제 퀴즈/다른 제품 조합 셀링포인트 작성 참여,포인트 증정,OTC,https://i.baropharm.com/event/f191e9ad-af0e-44fb-abc1-96259a9a1f31.png?&w=752&q=95,,
